
2001	2	5		0.773	0.774	0.788	0.788	0.788	
2001	2	10		1.409	1.409	1.408	1.421	1.414	
2001	2	50		6.384	6.390	6.401	6.412	6.391	
2001	2	100		12.650	12.614	12.608	12.621	12.636	
2001	4	5		0.792	0.794	0.794	0.796	0.794	
2001	4	10		1.459	1.453	1.453	1.458	1.458	
2001	4	50		6.656	6.655	6.656	6.661	6.664	
2001	4	100		13.164	13.151	13.148	13.156	13.142	
2001	8	5		0.859	0.860	0.860	0.859	0.860	
2001	8	10		1.579	1.580	1.579	1.579	1.580	
2001	8	50		7.299	7.300	7.297	7.294	7.290	
2001	8	100		14.459	14.478	14.472	14.475	14.457	
2001	16	5		0.958	0.958	0.958	0.958	0.959	
2001	16	10		1.795	1.795	1.795	1.795	1.796	
2001	16	50		8.426	8.430	8.426	8.429	8.429	
2001	16	100		16.625	16.627	16.631	16.637	16.630	
2001	32	5		1.062	1.062	1.062	1.062	1.062	
2001	32	10		1.915	1.915	1.915	1.914	1.915	
2001	32	50		8.998	8.995	8.996	8.998	9.082	
2001	32	100		17.848	17.848	17.850	17.852	17.859	
2003	2	5		1.102	1.093	1.076	1.091	1.090	
2003	2	10		1.937	1.935	1.916	1.924	1.938	
2003	2	50		8.765	8.725	8.731	8.644	8.744	
2003	2	100		17.312	17.158	17.303	17.383	17.282	
2003	4	5		1.134	1.134	1.137	1.138	1.135	
2003	4	10		2.042	2.043	2.044	2.044	2.040	
2003	4	50		9.268	9.256	9.269	9.257	9.264	
2003	4	100		18.357	18.376	18.347	18.369	18.357	
2003	8	5		1.263	1.263	1.262	1.263	1.262	
2003	8	10		2.277	2.277	2.277	2.279	2.277	
2003	8	50		10.440	10.440	10.439	10.439	10.438	
2003	8	100		20.661	20.662	20.662	20.660	20.662	
2003	16	5		1.356	1.356	1.356	1.356	1.356	
2003	16	10		2.496	2.496	2.495	2.495	2.496	
2003	16	50		11.646	11.649	11.649	11.647	11.650	
2003	16	100		22.848	22.845	22.843	22.843	22.845	
2003	32	5		1.461	1.460	1.461	1.460	1.461	
2003	32	10		2.615	2.615	2.615	2.616	2.615	
2003	32	50		12.185	12.145	12.145	12.146	12.148	
2003	32	100		24.141	24.068	24.061	24.059	24.131	
2006	2	5		0.980	0.987	0.997	0.984	0.990	
2006	2	10		1.812	1.780	1.838	1.817	1.804	
2006	2	50		8.750	8.783	8.737	8.807	8.760	
2006	2	100		17.770	17.774	17.758	17.918	17.788	
2006	4	5		1.039	1.032	1.042	1.038	1.031	
2006	4	10		1.932	1.918	1.924	1.926	1.930	
2006	4	50		9.264	9.248	9.241	9.249	9.245	
2006	4	100		18.478	18.503	18.472	18.480	18.353	
2006	8	5		1.169	1.167	1.168	1.168	1.168	
2006	8	10		2.166	2.165	2.165	2.165	2.166	
2006	8	50		10.221	10.234	10.235	10.230	10.234	
2006	8	100		20.325	20.316	20.364	20.377	20.353	
2006	16	5		1.272	1.272	1.273	1.272	1.272	
2006	16	10		2.392	2.393	2.391	2.393	2.392	
2006	16	50		11.476	11.408	11.412	11.414	11.408	
2006	16	100		22.564	22.568	22.561	22.569	22.577	
2006	32	5		1.375	1.375	1.375	1.375	1.376	
2006	32	10		2.508	2.511	2.509	2.509	2.508	
2006	32	50		11.967	11.968	11.965	11.967	11.966	
2006	32	100		23.793	23.798	23.797	23.801	23.795	
